# SYNTHETIC RELEVANCE LABELS — produced by training/labeling.py (LABELING_POLICY_VERSION 2.0.0). These are not observed customer choices. A model trained on them partially reproduces that policy.
group_id,user_id,split,label,raw_score,stress_failure_rate,demoted,noised,candidate_id,product_id,lender,tenure_months,strategy,required_amount,loan_amount,emi,total_interest,total_repayment,liquidation_amount,volatile_liquidation_amount,remaining_portfolio_value,resulting_liquidity_ratio,resulting_debt_burden_ratio,affordability_headroom,SYNTHETIC
0,syn-0001,train,0,0.550909,0.335,False,False,PL-401-410400-36-BORROW_100,PL-401,Anvil Credit,36,BORROW_100,684000.0,410400.0,13808.24,86696.6,497096.6,0.0,0.0,0.0,0.0,0.238648,4691.76,TRUE
0,syn-0001,train,0,0.580538,0.325,True,False,PL-401-410400-48-BORROW_100,PL-401,Anvil Credit,48,BORROW_100,684000.0,410400.0,10989.65,117103.01,527503.01,0.0,0.0,0.0,0.0,0.216454,7510.35,TRUE
0,syn-0001,train,1,0.593857,0.31,False,False,PL-401-410400-60-BORROW_100,PL-401,Anvil Credit,60,BORROW_100,684000.0,410400.0,9316.87,148611.95,559011.95,0.0,0.0,0.0,0.0,0.203282,9183.13,TRUE
0,syn-0001,train,0,0.557642,0.335,False,False,PL-401-547200-36-BORROW_100,PL-401,Anvil Credit,36,BORROW_100,684000.0,547200.0,18410.99,115595.46,662795.46,0.0,0.0,0.0,0.0,0.27489,89.01,TRUE
0,syn-0001,train,0,0.597147,0.335,True,False,PL-401-547200-48-BORROW_100,PL-401,Anvil Credit,48,BORROW_100,684000.0,547200.0,14652.86,156137.35,703337.35,0.0,0.0,0.0,0.0,0.245298,3847.14,TRUE
0,syn-0001,train,1,0.614907,0.335,True,False,PL-401-547200-60-BORROW_100,PL-401,Anvil Credit,60,BORROW_100,684000.0,547200.0,12422.49,198149.27,745349.27,0.0,0.0,0.0,0.0,0.227736,6077.51,TRUE
0,syn-0001,train,1,0.613757,0.335,True,False,PL-401-684000-48-BORROW_100,PL-401,Anvil Credit,48,BORROW_100,684000.0,684000.0,18316.08,195171.68,879171.68,0.0,0.0,0.0,0.0,0.274142,183.92,TRUE
0,syn-0001,train,2,0.635956,0.335,True,False,PL-401-684000-60-BORROW_100,PL-401,Anvil Credit,60,BORROW_100,684000.0,684000.0,15528.11,247686.58,931686.58,0.0,0.0,0.0,0.0,0.25219,2971.89,TRUE
0,syn-0001,train,0,0.559107,0.335,False,False,ML-501-410400-36-BORROW_100,ML-501,Sundial Credit Union,36,BORROW_100,684000.0,410400.0,13484.61,75045.93,485445.93,0.0,0.0,0.0,0.0,0.236099,5015.39,TRUE
0,syn-0001,train,1,0.590232,0.32,False,False,ML-501-410400-48-BORROW_100,ML-501,Sundial Credit Union,48,BORROW_100,684000.0,410400.0,10656.9,101131.06,511531.06,0.0,0.0,0.0,0.0,0.213834,7843.1,TRUE
0,syn-0001,train,1,0.605138,0.31,False,False,ML-501-410400-60-BORROW_100,ML-501,Sundial Credit Union,60,BORROW_100,684000.0,410400.0,8974.34,128060.59,538460.59,0.0,0.0,0.0,0.0,0.200585,9525.66,TRUE
0,syn-0001,train,0,0.568573,0.335,False,False,ML-501-547200-36-BORROW_100,ML-501,Sundial Credit Union,36,BORROW_100,684000.0,547200.0,17979.48,100061.24,647261.24,0.0,0.0,0.0,0.0,0.271492,520.52,TRUE
0,syn-0001,train,1,0.610073,0.335,True,False,ML-501-547200-48-BORROW_100,ML-501,Sundial Credit Union,48,BORROW_100,684000.0,547200.0,14209.2,134841.41,682041.41,0.0,0.0,0.0,0.0,0.241805,4290.8,TRUE
0,syn-0001,train,3,0.629948,0.335,True,True,ML-501-547200-60-BORROW_100,ML-501,Sundial Credit Union,60,BORROW_100,684000.0,547200.0,11965.79,170747.45,717947.45,0.0,0.0,0.0,0.0,0.22414,6534.21,TRUE
0,syn-0001,train,1,0.629914,0.335,True,False,ML-501-684000-48-BORROW_100,ML-501,Sundial Credit Union,48,BORROW_100,684000.0,684000.0,17761.5,168551.76,852551.76,0.0,0.0,0.0,0.0,0.269776,738.5,TRUE
0,syn-0001,train,2,0.654758,0.335,True,False,ML-501-684000-60-BORROW_100,ML-501,Sundial Credit Union,60,BORROW_100,684000.0,684000.0,14957.24,213434.31,897434.31,0.0,0.0,0.0,0.0,0.247695,3542.76,TRUE
1,syn-0005,train,3,0.663185,0.31,False,False,NO-LOAN,,,,LIQUIDATE_100,375000.0,0.0,0.0,0.0,0.0,375000.0,0.0,155340.98,0.0,0.117601,13800.0,TRUE
1,syn-0005,train,0,0.378031,0.335,False,False,PL-402-135000-12-BORROW_60_LIQUIDATE_40,PL-402,Cobalt Money,12,BORROW_60_LIQUIDATE_40,375000.0,135000.0,12216.75,11600.95,146600.95,90000.0,0.0,444400.76,0.518903,0.214023,1583.25,TRUE
1,syn-0005,train,0,0.405805,0.335,False,False,PL-402-90000-12-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,12,BORROW_40_LIQUIDATE_60,375000.0,90000.0,8144.5,7733.97,97733.97,135000.0,0.0,398946.21,0.464088,0.181882,5655.5,TRUE
1,syn-0005,train,0,0.478467,0.335,False,False,PL-402-225000-24-BORROW_100,PL-402,Cobalt Money,24,BORROW_100,375000.0,225000.0,10963.02,38112.53,263112.53,0.0,0.0,534500.0,0.6,0.204128,2836.98,TRUE
1,syn-0005,train,0,0.47369,0.335,False,False,PL-402-180000-24-BORROW_80_LIQUIDATE_20,PL-402,Cobalt Money,24,BORROW_80_LIQUIDATE_20,375000.0,180000.0,8770.42,30490.02,210490.02,45000.0,0.0,489500.0,0.563228,0.186823,5029.58,TRUE
1,syn-0005,train,0,0.468809,0.335,False,False,PL-402-135000-24-BORROW_60_LIQUIDATE_40,PL-402,Cobalt Money,24,BORROW_60_LIQUIDATE_40,375000.0,135000.0,6577.81,22867.52,157867.52,90000.0,0.0,444400.76,0.518903,0.169517,7222.19,TRUE
1,syn-0005,train,0,0.466324,0.335,False,False,PL-402-90000-24-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,24,BORROW_40_LIQUIDATE_60,375000.0,90000.0,4385.21,15245.01,105245.01,135000.0,0.0,398946.21,0.464088,0.152212,9414.79,TRUE
1,syn-0005,train,0,0.520729,0.335,True,False,PL-402-225000-36-BORROW_100,PL-402,Cobalt Money,36,BORROW_100,375000.0,225000.0,7854.9,57776.52,282776.52,0.0,0.0,534500.0,0.6,0.179597,5945.1,TRUE
1,syn-0005,train,0,0.5075,0.335,True,False,PL-402-180000-36-BORROW_80_LIQUIDATE_20,PL-402,Cobalt Money,36,BORROW_80_LIQUIDATE_20,375000.0,180000.0,6283.92,46221.21,226221.21,45000.0,0.0,489500.0,0.563228,0.167197,7516.08,TRUE
1,syn-0005,train,0,0.494167,0.335,True,False,PL-402-135000-36-BORROW_60_LIQUIDATE_40,PL-402,Cobalt Money,36,BORROW_60_LIQUIDATE_40,375000.0,135000.0,4712.94,34665.91,169665.91,90000.0,0.0,444400.76,0.518903,0.154798,9087.06,TRUE
1,syn-0005,train,0,0.483229,0.335,False,False,PL-402-90000-36-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,36,BORROW_40_LIQUIDATE_60,375000.0,90000.0,3141.96,23110.61,113110.61,135000.0,0.0,398946.21,0.464088,0.142399,10658.04,TRUE
1,syn-0005,train,0,0.535359,0.335,True,False,PL-402-225000-48-BORROW_100,PL-402,Cobalt Money,48,BORROW_100,375000.0,225000.0,6319.09,78316.48,303316.48,0.0,0.0,534500.0,0.6,0.167475,7480.91,TRUE
1,syn-0005,train,0,0.519204,0.335,True,False,PL-402-180000-48-BORROW_80_LIQUIDATE_20,PL-402,Cobalt Money,48,BORROW_80_LIQUIDATE_20,375000.0,180000.0,5055.27,62653.18,242653.18,45000.0,0.0,489500.0,0.563228,0.1575,8744.73,TRUE
1,syn-0005,train,0,0.502945,0.335,True,False,PL-402-135000-48-BORROW_60_LIQUIDATE_40,PL-402,Cobalt Money,48,BORROW_60_LIQUIDATE_40,375000.0,135000.0,3791.46,46989.89,181989.89,90000.0,0.0,444400.76,0.518903,0.147525,10008.54,TRUE
1,syn-0005,train,0,0.489081,0.335,False,False,PL-402-90000-48-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,48,BORROW_40_LIQUIDATE_60,375000.0,90000.0,2527.64,31326.59,121326.59,135000.0,0.0,398946.21,0.464088,0.13755,11272.36,TRUE
1,syn-0005,train,0,0.428594,0.335,False,False,PL-402-120000-12-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,12,BORROW_40_LIQUIDATE_60,375000.0,120000.0,10859.33,10311.96,130311.96,180000.0,0.0,353491.67,0.395177,0.20331,2940.67,TRUE
1,syn-0005,train,0,0.513407,0.335,True,False,PL-402-60000-12-BORROW_20_LIQUIDATE_80,PL-402,Cobalt Money,12,BORROW_20_LIQUIDATE_80,375000.0,60000.0,5429.66,5155.98,65155.98,240000.0,0.0,292885.61,0.270022,0.160455,8370.34,TRUE
1,syn-0005,train,0,0.48171,0.335,False,False,PL-402-240000-24-BORROW_80_LIQUIDATE_20,PL-402,Cobalt Money,24,BORROW_80_LIQUIDATE_20,375000.0,240000.0,11693.89,40653.36,280653.36,60000.0,0.0,474500.0,0.54942,0.209897,2106.11,TRUE
1,syn-0005,train,0,0.509286,0.335,True,False,PL-402-120000-24-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,24,BORROW_40_LIQUIDATE_60,375000.0,120000.0,5846.95,20326.68,140326.68,180000.0,0.0,353491.67,0.395177,0.163749,7953.05,TRUE
1,syn-0005,train,1,0.553753,0.335,True,False,PL-402-60000-24-BORROW_20_LIQUIDATE_80,PL-402,Cobalt Money,24,BORROW_20_LIQUIDATE_80,375000.0,60000.0,2923.47,10163.34,70163.34,240000.0,0.0,292885.61,0.270022,0.140675,10876.53,TRUE
1,syn-0005,train,1,0.544429,0.335,True,False,PL-402-300000-36-BORROW_100,PL-402,Cobalt Money,36,BORROW_100,375000.0,300000.0,10473.2,77035.36,377035.36,0.0,0.0,534500.0,0.6,0.200262,3326.8,TRUE
1,syn-0005,train,0,0.52679,0.335,True,False,PL-402-240000-36-BORROW_80_LIQUIDATE_20,PL-402,Cobalt Money,36,BORROW_80_LIQUIDATE_20,375000.0,240000.0,8378.56,61628.28,301628.28,60000.0,0.0,474500.0,0.54942,0.18373,5421.44,TRUE
1,syn-0005,train,0,0.531826,0.335,True,False,PL-402-120000-36-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,36,BORROW_40_LIQUIDATE_60,375000.0,120000.0,4189.28,30814.14,150814.14,180000.0,0.0,353491.67,0.395177,0.150665,9610.72,TRUE
1,syn-0005,train,1,0.565023,0.335,True,False,PL-402-60000-36-BORROW_20_LIQUIDATE_80,PL-402,Cobalt Money,36,BORROW_20_LIQUIDATE_80,375000.0,60000.0,2094.64,15407.07,75407.07,240000.0,0.0,292885.61,0.270022,0.134133,11705.36,TRUE
1,syn-0005,train,1,0.563935,0.335,True,False,PL-402-300000-48-BORROW_100,PL-402,Cobalt Money,48,BORROW_100,375000.0,300000.0,8425.46,104421.97,404421.97,0.0,0.0,534500.0,0.6,0.1841,5374.54,TRUE
1,syn-0005,train,1,0.542395,0.335,True,False,PL-402-240000-48-BORROW_80_LIQUIDATE_20,PL-402,Cobalt Money,48,BORROW_80_LIQUIDATE_20,375000.0,240000.0,6740.37,83537.57,323537.57,60000.0,0.0,474500.0,0.54942,0.1708,7059.63,TRUE
1,syn-0005,train,0,0.539629,0.335,True,False,PL-402-120000-48-BORROW_40_LIQUIDATE_60,PL-402,Cobalt Money,48,BORROW_40_LIQUIDATE_60,375000.0,120000.0,3370.18,41768.79,161768.79,180000.0,0.0,353491.67,0.395177,0.1442,10429.82,TRUE
1,syn-0005,train,1,0.568924,0.325,True,False,PL-402-60000-48-BORROW_20_LIQUIDATE_80,PL-402,Cobalt Money,48,BORROW_20_LIQUIDATE_80,375000.0,60000.0,1685.09,20884.39,80884.39,240000.0,0.0,292885.61,0.270022,0.1309,12114.91,TRUE
